"component_id","component_name","category","status","issues","readme_present","workflow_json_count","test_payload_count","output_sample_count","catalog_record_present"
"C1-E","c1-e-multi-step-sequence-engine","cat-1","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C2-A1","c2-a1-google-sheets-write-adapter","cat-2","BUILT","","True","1","3","3","True"
"C2-A2","c2-a2-airtable-write-adapter","cat-2","BUILT","","True","1","3","3","True"
"C2-A3","c2-a3-hubspot-contact-write-adapter","cat-2","BUILT","","True","1","3","3","True"
"C2-A","c2-a-data-sync-pipeline","cat-2","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C2-B","c2-b-conditional-routing-engine","cat-2","BUILT","","True","1","5","4","True"
"C2-C","c2-c-webhook-trigger-system","cat-2","BUILT","","True","2","6","4","True"
"C2-D","c2-d-deduplication-merge-engine","cat-2","BUILT","","True","1","5","5","True"
"C2-E","c2-e-form-intake-pipeline","cat-2","BUILT","","True","1","6","6","True"
"C2-F","c2-f-payload-validation-layer","cat-2","BUILT","","True","1","6","5","True"
"C2-G","c2-g-file-upload-routing","cat-2","BUILT","","True","1","8","8","True"
"C2-H","c2-h-payment-on-intake-flow","cat-2","BUILT","","True","1","10","10","True"
"C2-I","c2-i-notification-alert-engine","cat-2","BUILT","","True","1","3","3","True"
"C2-J","c2-j-digest-summary-notification-builder","cat-2","BUILT","","True","1","6","6","True"
"C2-K","c2-k-llm-in-workflow-adapter","cat-2","BUILT","","True","1","5","5","True"
"C2-L","c2-l-calendar-scheduling-automation","cat-2","BUILT","","True","1","9","9","True"
"C2-M","c2-m-whatsapp-message-automation","cat-2","BUILT","","True","1","10","10","True"
"C2-N","c2-n-csv-excel-parser","cat-2","BUILT","","True","1","7","7","True"
"C2-O2","c2-o2-approval-response-capture","cat-2","BUILT","","True","1","7","7","True"
"C2-O","c2-o-human-approval-gate","cat-2","BUILT","","True","1","5","5","True"
"C2-P","c2-p-suppression-opt-out-guard","cat-2","BUILT","","True","1","6","6","True"
"C2-Q","c2-q-publishing-adapter-family","cat-2","BUILT","","True","1","11","11","True"
"C3-D","c3-d-e-signature-flow","cat-3","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C3-E","c3-e-document-invoice-generation","cat-3","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C3-F","c3-f-delivery-tracking","cat-3","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C3-G","c3-g-subscription-billing-engine","cat-3","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C3-H","c3-h-payment-to-onboarding","cat-3","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C3-I","c3-i-welcome-sequence","cat-3","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C4-A","c4-a-ai-classification-pipeline","cat-4","BUILT","","True","1","7","7","True"
"C4-B","c4-b-ai-extraction-parser","cat-4","BUILT","","True","1","7","7","True"
"C4-C","c4-c-ai-summary-generator","cat-4","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C4-D","c4-d-ai-content-generation-pipeline","cat-4","BUILT","","True","1","7","7","True"
"C4-E","c4-e-ai-email-draft-generator","cat-4","BUILT","","True","1","6","6","True"
"C4-F","c4-f-ai-content-repurpose-engine","cat-4","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C4-L","c4-l-lead-qualification-pipeline","cat-4","BUILT","","True","1","7","7","True"
"C4-M","c4-m-ai-draft-approval-pipeline","cat-4","BUILT","","True","1","5","5","True"
"C4-T","c4-t-ocr-document-processing-pipeline","cat-4","BUILT","","True","1","9","9","True"
"C5-A","c5-a-basic-dashboard-view","cat-5","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C5-B","c5-b-client-portal-table","cat-5","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C5-C","c5-c-reporting-data-model","cat-5","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C5-D","c5-d-kpi-summary-builder","cat-5","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C5-E","c5-e-manual-review-queue","cat-5","BUILT","","True","1","6","6","True"
"C5-L","c5-l-file-preview","cat-5","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C5-T","c5-t-export-reports","cat-5","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C5-W","c5-w-automation-status-control-table","cat-5","BUILT","","True","1","5","5","True"
"C5-X","c5-x-kpi-monitoring-threshold-alert-engine","cat-5","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C6-A","c6-a-workflow-audit-checker","cat-6","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C6-B","c6-b-error-pattern-library","cat-6","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C6-C","c6-c-api-auth-debugger","cat-6","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C6-D","c6-d-data-mapping-diagnostic","cat-6","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C6-E","c6-e-integration-health-check","cat-6","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C6-F","c6-f-handoff-documentation-pack","cat-6","SCAFFOLD_ONLY","README-only scaffold; not counted as broken build","True","0","0","0","False"
"C6-G","c6-g-error-log-retry-queue","cat-6","BUILT","","True","1","5","5","True"
