"component_id","component_name","folder_path","primary_category","primary_job","borrowed_by_categories","layer_type","readiness","execution_level","adapter_for","provider","priority","template_ready","production_80_20_status","build_standard_notes","depends_on","used_by","notes"
"ADP-GDRIVE","Google Drive File Adapter","adapters/independent/google-drive-file-adapter","Universal Adapter Layer","Reusable external-system connector","All categories as needed","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","file_storage","Google Drive","P0","No","DEFERRED","Deferred adapter; not built yet.","N/A","File upload; document workflows","High-demand file adapter"
"ADP-GHL","GoHighLevel Adapter","adapters/independent/gohighlevel-adapter","Universal Adapter Layer","Reusable external-system connector","All categories as needed","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","crm","GoHighLevel","P0","No","DEFERRED","Deferred adapter; not built yet.","N/A","Agency CRM workflows","High-demand agency CRM adapter"
"ADP-GMAIL-INBOX","Gmail Inbox Trigger Adapter","adapters/independent/adp-gmail-inbox","Category 2 - Automation Workflows","Trigger and normalize inbound Gmail messages into standardized workflow inputs","Category 1; Category 3; Category 4; Category 5; Category 6","INDEPENDENT_ADAPTER","BUILT","provider_execution","email_intake","Gmail","P0","Yes","PASS_80_20","Passes 80/20 standard for Gmail inbound trigger normalization. Credentials and poll settings are configured manually in n8n.","Gmail credential in n8n","C4-B; C4-A; C2-D; C2-B; C2-A; TPL-P0-006","Category 2 P0 independent adapter for Gmail inbound email trigger and normalization."
"ADP-GMAIL-SEND","Gmail Send Adapter","adapters/independent/adp-gmail-send","Category 2 - Automation Workflows","Send outbound email through Gmail from standardized workflow requests","Category 1; Category 3; Category 4; Category 5; Category 6","INDEPENDENT_ADAPTER","BUILT","provider_execution","email_send","Gmail","P0","Yes","PASS_80_20","Passes 80/20 standard for Gmail outbound sending. Credentials are configured manually in n8n. Switch fallback/extra output must be confirmed manually after import.","Gmail credential in n8n","C2-I; C2-J; C2-O; C4-E; C4-M; TPL-P0-005","Category 2 P0 independent adapter for Gmail outbound sending."
"ADP-NOTION-DB","Notion Database Adapter","adapters/independent/notion-database-adapter","Universal Adapter Layer","Reusable external-system connector","All categories as needed","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","database","Notion","P0","No","DEFERRED","Deferred adapter; not built yet.","N/A","CRM; status; config; tasks","High-demand no-code database adapter"
"ADP-PDF","PDF Text Extraction Adapter","adapters/independent/pdf-text-extraction-adapter","Universal Adapter Layer","Reusable external-system connector","All categories as needed","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","document_parse","PDF","P0","No","DEFERRED","Deferred adapter; not built yet.","C4-T","Document Intake; Invoice Processing","High-demand document adapter"
"ADP-PIPEDRIVE","Pipedrive Adapter","adapters/independent/pipedrive-adapter","Universal Adapter Layer","Reusable external-system connector","All categories as needed","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","crm","Pipedrive","P0","No","DEFERRED","Deferred adapter; not built yet.","N/A","CRM sync; lead intake","High-demand SMB CRM adapter"
"ADP-REST","Generic REST API Adapter","components/adapters/adp-rest-generic-rest-api-adapter","Universal Adapter Layer","Reusable external-system connector","All categories as needed","INDEPENDENT_ADAPTER","BUILT","provider_execution","generic_rest_api","generic_rest","P0","Yes","PASS_80_20_FOR_DECLARED_SCOPE","Built for declared basic/no-auth REST execution scope; auth/OAuth/header-secret variants remain future expansion.","C5-E; C6-G; C5-W","C2-A; C2-I; C2-H; C2-L; C2-M; C2-Q; future templates","Built in n8n as generic no-auth REST adapter using HTTP Request node. Supports GET, POST, PATCH, DELETE v1 with normalized request and response contracts."
"ADP-SLACK-SEND","Slack Send Adapter","adapters/independent/slack-send-adapter","Universal Adapter Layer","Reusable external-system connector","All categories as needed","INDEPENDENT_ADAPTER","DEFERRED_ADAPTER","provider_execution","notification","Slack","P0","No","DEFERRED","Deferred adapter; not built yet.","N/A","Alerts; approvals; errors; digests","High-demand team notification adapter"
"ADP-SMTP-SEND","Generic SMTP Send Adapter","adapters/independent/adp-smtp-send","Category 2 - Automation Workflows","Send outbound email through SMTP from standardized workflow requests","Category 1; Category 3; Category 4; Category 5; Category 6","INDEPENDENT_ADAPTER","BUILT","provider_execution","email_send","SMTP","P0","Yes","PASS_80_20","Passes 80/20 standard for generic SMTP outbound sending. Credentials are configured manually in n8n. Switch fallback/extra output must be confirmed manually after import.","SMTP/email credential in n8n","C2-I; C2-J; C2-O; C4-E; C4-M; TPL-P0-005","Category 2 P0 universal email-send fallback adapter. Separate from C2-I notification orchestration."
